"_id","display_name","id","rkd_uri","viaf_uri","wikidata_uri","viaf_alternate"
"coudray, marie alexandre lucien","Marie Alexandre Lucien Coudray",54017,"http://explore.rkd.nl/nl/explore/artists/210737","http://viaf.org/viaf/96593032","http://www.wikidata.org/wiki/Q3292339","Marie Alexandre Lucien Coudray,Marie-Alexandre-Lucien Coudray,Coudray, Marie Alexandre Lucien"
"coulon, jean","Jean Coulon",1004,"http://explore.rkd.nl/nl/explore/artists/18716",,,",Coulon, Jean,Jean Coulon"
"coupé, louise","Louise Coupé",598,"http://explore.rkd.nl/nl/explore/artists/18731",,,",Coupé, Louise,Louise Coupé"
"courbet, gustave","Gustave Courbet",276,"http://explore.rkd.nl/nl/explore/artists/18743","http://viaf.org/viaf/22160734","http://www.wikidata.org/wiki/Q34618","クールベ,居斯塔夫·库尔贝,Gjustav Kurbe,Gistavs Kurbē,Gi︠u︡stav Kurbe,Jean-Desire-Gustave Courbet,ギュスターヴ クールベ,G 꾸르베,ク-ルベ,گوستاو کوربه,Gust. C,구스타브 쿠르베,古比,Qustav Kubert,Jean Desiré Gustave Courbet,Courbet,جوستاف كوربيه،,ਗੁਸਤਾਵ ਕੋਰਬੇ,Gustavus Courbet,C,Gustave Courbet,ギュスターヴ・クールベ,Jean-Désiré-Gustave Courbet,Jean Désiré Gustave Courbet,กุสตาฟว์ กูร์แบ,Jean Désiré Gustave Courbet,Jean-Désiré-Gustave Courbet,Гистав Курбе,Gustave C,Գուստավ Կուրբե,구스타프 쿠르베,ഗുസ്താവ് കൂർബെ,გიუსტავ კურბე,Γκυστάβ Κουρμπέ,Gustave Coubert,गुस्ताव कुर्बे,귀스타브 쿠르베,Гюстав Курбе,غوستاف كوربيه,גוסטב קורבה,Gi͡ustav Kurbe,Jean Desire Gustave Courbet,Gust C,Курбе Гюстав,Courbet, Gustave"
"courtens, franz","Franz Courtens",2167,"http://explore.rkd.nl/nl/explore/artists/18765","http://viaf.org/viaf/12578190","http://www.wikidata.org/wiki/Q663721","Courtens,Frans Courtens,Frans, Baron Courtens,Franz Courtens,Baron Franz Courtens,Frans Baron Courtens,Courtens, Franz"
"coxie, raphael","Raphael Coxie",1118,"http://explore.rkd.nl/nl/explore/artists/18891","http://viaf.org/viaf/95704896","http://www.wikidata.org/wiki/Q15428865","Ράφαελ Κόξι,Raphael Coxie,Coxie, Raphael"
"craesbeeck, joos van","Joos van Craesbeeck",394,"http://explore.rkd.nl/nl/explore/artists/18939","http://viaf.org/viaf/95698588","http://www.wikidata.org/wiki/Q1703544","Josse van Crasbeck,Joos Van Craesbeeck,Joos van Craesbeke,Josse van Craesbeeck,Josse van Graesboeck,Josse Van Craesbeeck,Josse van Graesbock,Joos van Craesbeeck,Josse van Craesbeck,Josse van Craesback,Joos van Craesbeck,Josse van Graesböck,Josse van Craasbeck,Joos Van Craesbeke,Josse van Kraesbeck,Craesbeeck, Joos van"
"cramer, rené de","René De Cramer",653,"http://explore.rkd.nl/nl/explore/artists/414503","http://viaf.org/viaf/306467954",,",Cramer, René De,René De Cramer"
"cranz, thomas","Thomas Cranz",68510,"http://explore.rkd.nl/nl/explore/artists/18995","http://viaf.org/viaf/96494040",,"Thomas Cranz,Thomas Kranz,Cranz, Thomas"
"creytens, julien","Julien Creytens",785,"http://explore.rkd.nl/nl/explore/artists/19114","http://viaf.org/viaf/96645794",,"Julien Creytens,Creytens, Julien"
"crivelli, giovanni","Giovanni Crivelli",115,"http://explore.rkd.nl/nl/explore/artists/19159","http://viaf.org/viaf/190641986",,"Giovanni Crivelli,Jacopo Crivelli,Il Crivellino,Crivelli, Giovanni"
"croix, victor de la","Victor de la Croix",4,"http://explore.rkd.nl/nl/explore/artists/21572",,,",Croix, Victor de la,Victor de la Croix"
"crommelinck, gustave","Gustave Crommelinck",750,"http://explore.rkd.nl/nl/explore/artists/334478",,,",Crommelinck, Gustave,Gustave Crommelinck"
