_id,workPid,dataPid
1889-G,http://mskgent.be/collection/work/id/1889-G,http://mskgent.be/collection/work/data/1889-G
1889-H,http://mskgent.be/collection/work/id/1889-H,http://mskgent.be/collection/work/data/1889-H
1889-I,http://mskgent.be/collection/work/id/1889-I,http://mskgent.be/collection/work/data/1889-I
1889-J,http://mskgent.be/collection/work/id/1889-J,http://mskgent.be/collection/work/data/1889-J
1890-A,http://mskgent.be/collection/work/id/1890-A,http://mskgent.be/collection/work/data/1890-A
1890-B,http://mskgent.be/collection/work/id/1890-B,http://mskgent.be/collection/work/data/1890-B
1892-A,http://mskgent.be/collection/work/id/1892-A,http://mskgent.be/collection/work/data/1892-A
1892-B,http://mskgent.be/collection/work/id/1892-B,http://mskgent.be/collection/work/data/1892-B
1892-C,http://mskgent.be/collection/work/id/1892-C,http://mskgent.be/collection/work/data/1892-C
1892-D,http://mskgent.be/collection/work/id/1892-D,http://mskgent.be/collection/work/data/1892-D
1892-E,http://mskgent.be/collection/work/id/1892-E,http://mskgent.be/collection/work/data/1892-E
1892-F,http://mskgent.be/collection/work/id/1892-F,http://mskgent.be/collection/work/data/1892-F
1892-G,http://mskgent.be/collection/work/id/1892-G,http://mskgent.be/collection/work/data/1892-G
1892-H,http://mskgent.be/collection/work/id/1892-H,http://mskgent.be/collection/work/data/1892-H
1892-I,http://mskgent.be/collection/work/id/1892-I,http://mskgent.be/collection/work/data/1892-I
1892-J,http://mskgent.be/collection/work/id/1892-J,http://mskgent.be/collection/work/data/1892-J
1894-A,http://mskgent.be/collection/work/id/1894-A,http://mskgent.be/collection/work/data/1894-A
1894-B,http://kunstenenerfgoed.be/CVG/collection/work/id/1047,http://mskgent.be/collection/work/data/1894-B
1895-A,http://mskgent.be/collection/work/id/1895-A,http://mskgent.be/collection/work/data/1895-A
1895-B,http://mskgent.be/collection/work/id/1895-B,http://mskgent.be/collection/work/data/1895-B
1895-C,http://mskgent.be/collection/work/id/1895-C,http://mskgent.be/collection/work/data/1895-C
1895-D,http://mskgent.be/collection/work/id/1895-D,http://mskgent.be/collection/work/data/1895-D
1895-E,http://mskgent.be/collection/work/id/1895-E,http://mskgent.be/collection/work/data/1895-E
1895-F,http://mskgent.be/collection/work/id/1895-F,http://mskgent.be/collection/work/data/1895-F
1895-G,http://mskgent.be/collection/work/id/1895-G,http://mskgent.be/collection/work/data/1895-G
1895-H,http://mskgent.be/collection/work/id/1895-H,http://mskgent.be/collection/work/data/1895-H
1895-I,http://mskgent.be/collection/work/id/1895-I,http://mskgent.be/collection/work/data/1895-I
1895-J,http://mskgent.be/collection/work/id/1895-J,http://mskgent.be/collection/work/data/1895-J
1895-K,http://mskgent.be/collection/work/id/1895-K,http://mskgent.be/collection/work/data/1895-K
1896-A,http://mskgent.be/collection/work/id/1896-A,http://mskgent.be/collection/work/data/1896-A
1896-D,http://mskgent.be/collection/work/id/1896-D,http://mskgent.be/collection/work/data/1896-D
1897-A,http://mskgent.be/collection/work/id/1897-A,http://mskgent.be/collection/work/data/1897-A
1897-B,http://mskgent.be/collection/work/id/1897-B,http://mskgent.be/collection/work/data/1897-B
1898-A,http://mskgent.be/collection/work/id/1898-A,http://mskgent.be/collection/work/data/1898-A
1898-B,http://mskgent.be/collection/work/id/1898-B,http://mskgent.be/collection/work/data/1898-B
1898-C,http://mskgent.be/collection/work/id/1898-C,http://mskgent.be/collection/work/data/1898-C
1898-D,http://mskgent.be/collection/work/id/1898-D,http://mskgent.be/collection/work/data/1898-D
1898-E,http://mskgent.be/collection/work/id/1898-E,http://mskgent.be/collection/work/data/1898-E
1898-F,http://mskgent.be/collection/work/id/1898-F,http://mskgent.be/collection/work/data/1898-F
1898-G,http://mskgent.be/collection/work/id/1898-G,http://mskgent.be/collection/work/data/1898-G
1898-H,http://mskgent.be/collection/work/id/1898-H,http://mskgent.be/collection/work/data/1898-H
